Question,Answer,Topic,Difficulty
"What is MLM in really simple terms?","MLM (Masked Language Modelling) is the fill-in-the-blank game BERT was originally trained on: hide a word in a sentence (The cat sat on the ___) and make the model guess it (mat). Doing that millions of times is how BERT learned language in the first place.",11. Big Picture,Easy
"What are the three models — vanilla, MLM, RSR — and why three?","Three versions of the same BERT, scored on the same word-similarity test. Vanilla = plain BERT, untouched (the starting point). MLM = BERT trained more on fill-in-the-blank only (the fair control). RSR = BERT trained more on fill-in-the-blank PLUS our similarity lesson (the experiment). Three so we can tell a real effect from just-more-training.",11. Big Picture,Easy
"Why do we need the MLM-only control at all?","To kill the obvious objection: maybe RSR only improved because we trained it more, not because of the similarity idea. The MLM model is trained exactly as much but WITHOUT the similarity lesson. RSR beating MLM (not just beating vanilla) is the only thing that proves the idea itself works.",11. Big Picture,Medium
"What does the 'all' row mean (vs both/one/neither)?","'all' is the whole test averaged into one number — all 999 SimLex word pairs. The both/one/neither rows are the same test sliced by how many of a pair's words our similarity lesson had seen. 'all' is the headline; the slices show where the effect lives.",11. Big Picture,Easy
"Word-level vs sentence-level — what actually changed, simply?","Old way: show BERT a bare word (cat) and read its vector — but BERT was trained on sentences, so a lone word gives a poor vector. New way: show BERT the word inside real sentences (The cat sat on the mat), pull out cat's vector from each, and average. Same word, much better vector because it's the word as actually used.",11. Big Picture,Easy
"How does a word become a vector in the new setup?","Take ~20-50 real Wikipedia sentences containing the word, run each through BERT, find where the word is in each sentence, grab its vector there, and average across all the sentences. That average is the word's representation. We never embed a whole sentence — the unit is always the word.",11. Big Picture,Medium
"How is SimLex actually scored, step by step?","SimLex is 999 word pairs with human similarity ratings. 1) Build each word's vector (average it across its sentences). 2) For each pair, take the cosine similarity of the two word vectors — that's the model's score. 3) Rank-correlate the model's 999 scores against the human 999 scores. High correlation = the model agrees with people.",11. Big Picture,Medium
"Do we make 'sentence embeddings' for SimLex?","No — common confusion. We make WORD embeddings, just built from sentences. Each SimLex word gets one vector by averaging it across many sentences it appears in. The pair's score is the cosine of its two word vectors. The sentences are a means to a better word vector, not the thing being compared.",11. Big Picture,Medium
"Why are the new numbers so much higher than the old Table 2?","Mostly the baseline jumped, not RSR. Embedding words in context (sentences) instead of in isolation, plus removing the old random projection head, lifts vanilla BERT from ~0.15 to ~0.49 — which is exactly what the literature expects for contextual BERT on SimLex. The old low number was the odd one out.",11. Big Picture,Medium
"Does a higher baseline mean RSR is working better?","No — the opposite. When vanilla was 0.15 there was huge room to improve, so RSR added +0.13. Now vanilla is ~0.49, the easy gains are gone, so RSR's effect looks smaller (+0.05 on generalisation). A small gain on a strong, correctly-measured baseline is more honest than a big gain on a broken one.",11. Big Picture,Medium
"What does 'generalisation' mean here, in plain terms?","The model getting better at judging the similarity of words we NEVER taught it about. If it only improved on words it was trained on, that is memorising. Improving on unseen words means the lesson reshaped its general understanding — that is the interesting result.",11. Big Picture,Easy
"What is an embedding / vector, in plain terms?","A list of numbers that represents a word's meaning as a point in space. Words with similar meanings sit close together. BERT produces these; RSR nudges them so the distances between words match human judgements of similarity.",11. Big Picture,Easy
"What is cosine similarity, in plain terms?","A measure of how aligned two vectors are, ignoring their length — 1 means same direction (very similar), 0 means unrelated, -1 means opposite. We use it to ask how similar the model thinks two words are.",11. Big Picture,Easy
"What is Spearman correlation, in plain terms?","A score for whether two lists rank things in the same order. It ignores exact values and only cares about order: did the model rank the pairs from most-similar to least-similar the same way humans did? 1 = identical order, 0 = unrelated.",11. Big Picture,Easy
"What are the human similarity ratings and where do they come from?","People were shown word pairs and rated how similar they are, producing datasets like SimVerb (verbs) and THINGS (objects). Those ratings are the 'right answers' RSR trains toward and SimLex tests against. They are the human ground truth for word meaning.",11. Big Picture,Easy
"What does 'reshape the semantic space' actually mean?","BERT stores words as points in a high-dimensional space; meaning is encoded in how they are arranged. 'Reshaping' means RSR moves the points so the arrangement better matches human similarity — and because it moves the whole space, words it never touched directly also end up better placed.",11. Big Picture,Medium
"In one breath, what did this experiment show?","Adding a similarity lesson to BERT's continued training made it agree better with human word-similarity judgements — including on words it was never taught — beyond what extra training alone achieves. Small but rock-solid effect, concentrated exactly where it should be: generalisation.",11. Big Picture,Easy
"Why use continued pre-training instead of training BERT from scratch?","From scratch needs enormous data and compute and would throw away everything BERT already knows. We start from pretrained BERT and only nudge it, so the similarity signal reshapes existing knowledge cheaply rather than rebuilding a language model.",11. Big Picture,Medium
