--- SimVerb-3500 Data Inspection ---
Total pairs available: 13213

Top 100 Most Similar Pairs:
rip - tear: 0.9960
rips - tears: 0.9960
ripping - tearing: 0.9960
build - construct: 0.9960
builds - constructs: 0.9960
built - constructed: 0.9960
building - constructing: 0.9960
repair - fix: 0.9960
repairs - fixes: 0.9960
repaired - fixed: 0.9960
repairing - fixing: 0.9960
reply - respond: 0.9790
replies - responds: 0.9790
replied - responded: 0.9790
replying - responding: 0.9790
hurry - rush: 0.9790
hurries - rushes: 0.9790
hurried - rushed: 0.9790
hurrying - rushing: 0.9790
flee - escape: 0.9790
flees - escapes: 0.9790
fled - escaped: 0.9790
fleeing - escaping: 0.9790
understand - comprehend: 0.9790
understands - comprehends: 0.9790
understood - comprehended: 0.9790
understanding - comprehending: 0.9790
save - rescue: 0.9790
saves - rescues: 0.9790
saved - rescued: 0.9790
saving - rescuing: 0.9790
triumph - succeed: 0.9790
triumphs - succeeds: 0.9790
triumphed - succeeded: 0.9790
triumphing - succeeding: 0.9790
triumph - win: 0.9790
triumphs - wins: 0.9790
triumphed - won: 0.9790
triumphing - winning: 0.9790
obtain - acquire: 0.9790
obtains - acquires: 0.9790
obtained - acquired: 0.9790
obtaining - acquiring: 0.9790
get - acquire: 0.9660
gets - acquires: 0.9660
got - acquired: 0.9660
getting - acquiring: 0.9660
depart - leave: 0.9660
departs - leaves: 0.9660
departed - left: 0.9660
departing - leaving: 0.9660
search - seek: 0.9630
searches - seeks: 0.9630
searched - sought: 0.9630
searching - seeking: 0.9630
alter - change: 0.9630
alters - changes: 0.9630
altered - changed: 0.9630
altering - changing: 0.9630
teach - educate: 0.9630
teaches - educates: 0.9630
taught - educated: 0.9630
teaching - educating: 0.9630
exchange - swap: 0.9630
exchanges - swaps: 0.9630
exchanged - swapped: 0.9630
exchanging - swapping: 0.9630
assist - aid: 0.9630
assists - aids: 0.9630
assisted - aided: 0.9630
assisting - aiding: 0.9630
search - look: 0.9630
searches - looks: 0.9630
searched - looked: 0.9630
searching - looking: 0.9630
gather - collect: 0.9630
gathers - collects: 0.9630
gathered - collected: 0.9630
gathering - collecting: 0.9630
choose - pick: 0.9630
chooses - picks: 0.9630
chose - picked: 0.9630
choosing - picking: 0.9630
depart - go: 0.9630
departs - goes: 0.9630
departed - went: 0.9630
departing - going: 0.9630
prohibit - disallow: 0.9630
prohibits - disallows: 0.9630
prohibited - disallowed: 0.9630
prohibiting - disallowing: 0.9630
jump - leap: 0.9630
jumps - leaps: 0.9630
jumped - leapt: 0.9630
jumping - leaping: 0.9630
condemn - damn: 0.9630
condemned - damned: 0.9630
condemning - damning: 0.9630
scold - reprimand: 0.9630
scolds - reprimands: 0.9630

Top 100 Least Similar Pairs:
committing - exploding: 0.0000
committed - exploded: 0.0000
commits - explodes: 0.0000
commit - explode: 0.0000
snooze - happen: 0.0000
blaming - traveling: 0.0000
blamed - travelled: 0.0000
blames - travels: 0.0000
blame - travel: 0.0000
hurting - saluting: 0.0000
hurt - saluted: 0.0000
hurts - salutes: 0.0000
hurt - salute: 0.0000
shutting - vomiting: 0.0000
shut - vomited: 0.0000
shuts - vomits: 0.0000
shut - vomit: 0.0000
vomiting - discovering: 0.0000
vomited - discovered: 0.0000
vomits - discovers: 0.0000
vomit - discover: 0.0000
creating - diving: 0.0000
created - dove: 0.0000
creates - dives: 0.0000
create - dive: 0.0000
humiliating - comforting: 0.0000
humiliated - comforted: 0.0000
humiliates - comforts: 0.0000
humiliate - comfort: 0.0000
dissolving - adoring: 0.0000
dissolved - adored: 0.0000
dissolves - adores: 0.0000
dissolve - adore: 0.0000
surviving - flushing: 0.0000
survived - flushed: 0.0000
survives - flushes: 0.0000
survive - flush: 0.0000
choking - succeeding: 0.0000
choked - succeeded: 0.0000
chokes - succeeds: 0.0000
choke - succeed: 0.0000
correcting - disintegrating: 0.0000
corrected - disintegrated: 0.0000
corrects - disintegrates: 0.0000
correct - disintegrate: 0.0000
visiting - giggling: 0.0000
visits - giggles: 0.0000
visit - giggle: 0.0000
driving - breeding: 0.0000
drove - bred: 0.0000
drives - breeds: 0.0000
drive - breed: 0.0000
lending - stinging: 0.0000
lent - stung: 0.0000
lends - stings: 0.0000
lend - sting: 0.0000
shrinking - snoring: 0.0000
grasping - releasing: 0.0000
grasped - released: 0.0000
grasps - releases: 0.0000
grasp - release: 0.0000
protecting - hurting: 0.0000
protected - hurt: 0.0000
protects - hurts: 0.0000
protect - hurt: 0.0000
dying - growing: 0.0000
died - grew: 0.0000
dies - grows: 0.0000
die - grow: 0.0000
stopping - driving: 0.0000
stopped - drove: 0.0000
stops - drives: 0.0000
stop - drive: 0.0000
killing - looking: 0.0000
killed - looked: 0.0000
kills - looks: 0.0000
kill - look: 0.0000
delivering - standing: 0.0000
delivered - stood: 0.0000
delivers - stands: 0.0000
deliver - stand: 0.0000
forgetting - attending: 0.0000
forgot - attended: 0.0000
forgets - attends: 0.0000
forget - attend: 0.0000
stopping - spinning: 0.0000
stopped - spun: 0.0000
stops - spins: 0.0000
stop - spin: 0.0000
disliking - admiring: 0.0000
disliked - admired: 0.0000
dislikes - admires: 0.0000
dislike - admire: 0.0000
boiling - freezing: 0.0000
boiled - froze: 0.0000
boils - freezes: 0.0000
boil - freeze: 0.0000
laughing - crying: 0.0000
laughed - cried: 0.0000
laughs - cries: 0.0000
