Question,Answer,Topic,Difficulty
"In one sentence, what is RSR?","Take a pretrained BERT, keep training it on Wikipedia sentences, but in addition to the normal masked-language task add a loss that pushes BERT's sense of how similar two words are to match human similarity ratings — then test whether that reshapes its understanding of words it was never given ratings for.",1. The Pitch,Easy
"What does RSR stand for and what is it regularising?","Representational Similarity Regularisation. It regularises the model's representation geometry: the pairwise similarity structure of its word vectors is pulled toward the human similarity structure (the RDM, representational dissimilarity matrix).",1. The Pitch,Easy
"What is the core research claim?","That supervising the similarity ordering of a few thousand words reshapes BERT's whole semantic space, so even words that received no human supervision end up agreeing better with human similarity judgements.",1. The Pitch,Medium
"Why is this interesting / novel?","Most lexical-semantics work reads off frozen embeddings. Here BERT's own weights are updated by a human-similarity signal, and the benefit generalises beyond the supervised vocabulary — evidence the constraint changes the representation itself, not just a readout head.",1. The Pitch,Medium
"Is RQ3/RSR a real research question or just a training exercise?","It's a research question: can human similarity structure, used as an explicit training objective rather than a post-hoc evaluation, reorganise a language model's representations and generalise to unsupervised words? Most prior work only evaluates against SimLex; RSR puts it inside the training loop.",1. The Pitch,Medium
"How is RSR different from just fine-tuning BERT on SimLex directly?","Fine-tuning on SimLex would train on the test set and only teach the specific pairs. RSR trains on a different, disjoint set (SimVerb + THINGS), supervises rank structure rather than memorising pairs, and is measured by whether it generalises to held-out SimLex — including words it never saw.",1. The Pitch,Medium
"Who is Mark Ormerod and why does his name keep coming up?","A previous researcher whose thesis chapter is the foundation for this work. His original RSR recipe (frozen BERT + 128-d projection head, weighted MLM+RSR with high lambda) is the baseline this project builds on and deliberately departs from per supervisor feedback. The Mark recipe is still selectable via flags. (bert_rsr_continued_pretraining.py, lines 156-214)",1. The Pitch,Easy
"How does RQ3 (RSR) connect to RQ1 and RQ2 of the PhD?","RQ1/RQ2 analyse how model representations align with brain data (RDMs, parcels, hemispheres). RQ3 flips analysis into intervention: instead of measuring alignment, train the model toward a target similarity structure. The end-goal is to use the brain RDMs from RQ1/RQ2 as that target.",1. The Pitch,Medium
"If you had 30 seconds with a sceptic, what would you say?","We added one term to BERT's training that asks its word similarities to rank like humans. With a fair more-training control, that term improved agreement with human judgements on words it was never taught — by a small but rock-solid amount (p=0.00002, every seed). It reshapes the space, not a lookup.",1. The Pitch,Medium
"What is continued pre-training?","Taking an already-pretrained model and training it further on new data/objectives rather than from scratch. Here BERT keeps doing masked language modelling (its original objective) on Wikipedia sentences, with RSR added on top.",1. The Pitch,Easy
"What is the RSR loss, exactly?","L_rsr = 1 - rho_soft, where rho_soft is a differentiable (soft) Spearman correlation between the model's pairwise cosine similarities and the human scores for those same pairs. Minimising it maximises rank agreement. (bert_rsr_continued_pretraining.py, lines 540-577)",2. The Maths,Medium
"Why Spearman correlation and not Pearson or raw error?","We care about the ORDER of similarities (is pair A more similar than pair B?), not absolute values on a particular scale. Spearman measures rank agreement, which is scale-free and matches how the similarity datasets are used.",2. The Maths,Medium
"Why does Spearman need a 'soft' version — what's the problem?","Spearman needs each value's RANK, and ranking = sorting. Sorting is a step function: its gradient is zero almost everywhere, so you can't backpropagate through it. A soft rank is a smooth, differentiable approximation that DOES have a gradient. (bert_rsr_continued_pretraining.py, lines 224-274)",2. The Maths,Hard
"How does the fallback soft-rank (soft_rank_custom) actually work?","Exact rank of a value = 1 + count of values smaller than it. That count is non-differentiable. We replace it with a soft count: for each pair sigmoid(x_i - x_j), which is ~1 if x_i >> x_j and ~0 otherwise, summed over j. The 'strength' parameter sharpens the sigmoid toward a true step. (bert_rsr_continued_pretraining.py, lines 235-251)",2. The Maths,Hard
"Once you have soft ranks, how do you get the correlation?","Spearman = Pearson correlation computed on ranks. So soft-rank both vectors, centre each (subtract mean), then take covariance divided by the product of standard deviations. That's an ordinary, differentiable Pearson on the soft ranks. (bert_rsr_continued_pretraining.py, lines 253-274)",2. The Maths,Hard
"What is torchsort and why is it optional?","torchsort provides a faster, better-conditioned differentiable soft_rank. If installed we use it; if not, soft_rank_custom gives the same idea via pairwise sigmoids. Results are equivalent; torchsort is just an efficiency upgrade. (bert_rsr_continued_pretraining.py, lines 253-274)",2. The Maths,Medium
"What is the soft_rank_strength / regularisation_strength parameter?","It controls how sharp the soft rank is — higher pushes the smooth approximation closer to a true (hard) step rank, lower makes it smoother and easier to optimise. A standard differentiable-ranking trade-off between fidelity and gradient smoothness. (bert_rsr_continued_pretraining.py, lines 156-214)",2. The Maths,Hard
"How is word similarity computed inside the model?","Each word's contextual vector is compared to another's by cosine similarity (the dot product of the two vectors normalised by their magnitudes), a scalar in [-1, 1]. (bert_rsr_continued_pretraining.py, lines 558-567)",2. The Maths,Medium
"Why is the loss 1 - rho and not just -rho?","Cosmetic but convenient: 1 - rho gives a loss that is 0 at perfect agreement and grows as agreement drops (up to 2 at perfect reversal), so it reads like a normal non-negative loss. Minimising 1 - rho is identical to maximising rho. (bert_rsr_continued_pretraining.py, lines 571-577)",2. The Maths,Easy
"Is it inconsistent to use soft Spearman in training but hard Spearman at eval?","No. Soft Spearman exists only because training needs gradients. Evaluation needs no gradient, so we use the exact (scipy) Spearman for an honest, standard metric. The soft version closely approximates the hard one, so they agree closely anyway. (bert_rsr_continued_pretraining.py, lines 695-701)",2. The Maths,Hard
"What is an RDM (representational dissimilarity matrix)?","A square matrix where entry (i,j) is how DISsimilar items i and j are in some representation. Similarity and dissimilarity are two sides of the same matrix; RSA and RSR compare these matrices between a model and humans (or brains).",2. The Maths,Medium
"What is RSA and how does RSR relate to it?","Representational Similarity Analysis compares two systems by correlating their RDMs (e.g. model vs brain) — it's an analysis tool. RSR turns that comparison into a training objective: instead of just measuring RDM agreement, it optimises the model to increase it.",2. The Maths,Medium
"Why cosine similarity rather than Euclidean distance?","Cosine compares direction, ignoring vector magnitude — appropriate because semantic similarity is about orientation in embedding space, and magnitudes vary with word frequency. It's also bounded in [-1, 1], which keeps the similarity scores well-behaved. (bert_rsr_continued_pretraining.py, lines 558-567)",2. The Maths,Medium
"What range does the RSR loss take and what is 'good'?","Roughly [0, 2]. 0 means the model's similarity ordering perfectly matches the human ordering for that batch; 1 means no rank correlation; 2 would mean a perfect reversal. In training the RSR term falls from ~0.79 toward ~0.3-0.4. (bert_rsr_continued_pretraining.py, lines 571-577)",2. The Maths,Medium
"What is min-max normalisation and why use it on the scores?","Rescaling each dataset's scores to [0,1] via (s - min)/(max - min). It puts SimVerb and THINGS on a common range so neither dominates the pooled supervision. (bert_rsr_continued_pretraining.py, lines 279-287)",2. The Maths,Medium
"Why must words be embedded inside sentences at all?","BERT is contextual — it has no single context-free vector for a word. To get a representation we must run the word inside a real sentence and read out its hidden state. We use up to 50 harvested Wikipedia sentences per target word. (bert_rsr_continued_pretraining.py, lines 433-457)",3. The Model,Medium
"What is a contextual embedding vs a static embedding?","A static embedding (word2vec/GloVe) gives one fixed vector per word. A contextual embedding (BERT) gives a different vector each time, depending on the sentence — 'bank' by a river vs a bank loan differ. RSR operates on these context-dependent vectors. (bert_rsr_continued_pretraining.py, lines 433-457)",3. The Model,Medium
"What does find_subword_span do and why is it needed?","BERT's tokenizer splits rare words into sub-word pieces (e.g. aardvark -> aard ##var ##k). find_subword_span locates exactly which token positions are the target word inside the tokenised sentence, so we extract the right hidden states. (bert_rsr_continued_pretraining.py, lines 385-394)",3. The Model,Medium
"How is a single vector obtained for a multi-token word?","Mean-pool: average the last-layer hidden states of the target word's sub-word tokens into one vector. (bert_rsr_continued_pretraining.py, lines 433-457)",3. The Model,Easy
"Why mean-pool sub-words instead of taking the first sub-word token?","Mean-pooling uses information from every piece of the word; the first token alone can be a generic prefix that under-represents rare words. Mean is a simple, standard choice that is robust across one- and many-piece words. (bert_rsr_continued_pretraining.py, lines 433-457)",3. The Model,Medium
"What is the projection head, and what is it set to by default?","Optionally a Linear layer mapping BERT's 768-d states to a lower dimension (128 in Mark's recipe). By default projection_dim=0, i.e. nn.Identity — NO head. The loss acts on BERT's raw 768-d states so it must reshape the backbone itself. (bert_rsr_continued_pretraining.py, lines 410-413)",3. The Model,Medium
"Why did the supervisor want no projection head?","He wasn't convinced that freezing BERT and training only a head makes sense — that just learns a readout on top of fixed representations. He wants the conceptual representations IN the backbone to update, so the loss is applied to the last encoder layer with nothing frozen. (bert_rsr_continued_pretraining.py, lines 410-423)",3. The Model,Medium
"What does 'nothing frozen' mean here and what changed?","Previously (Mark's recipe) embeddings + encoder layers 0-10 were frozen, training only the final block + head (~7M params). Now num_frozen_layers=0: the entire backbone trains (~109.5M params), so the similarity signal can reshape every layer. (bert_rsr_continued_pretraining.py, lines 415-423)",3. The Model,Medium
"Why BERT first and not GPT-2?","BERT is bidirectional and natively trained with masked language modelling, which gives a clean, well-understood anchor loss to interleave with RSR. GPT-2 (causal LM) will follow the same template once the BERT recipe is settled. (bert_rsr_continued_pretraining.py, lines 399-425)",3. The Model,Easy
"Why apply the loss at the last encoder layer specifically?","It's the layer whose representations are most task/semantics-shaped and the supervisor's suggested starting point. Applying RSR there (with nothing frozen) lets the signal propagate back through the whole stack while keeping a single, interpretable readout point. (bert_rsr_continued_pretraining.py, lines 433-457)",3. The Model,Medium
"What is the difference between .bert and .cls in BertForMaskedLM?","model.bert is the encoder (embeddings + transformer layers) that produces hidden states — used for RSR target vectors. model.cls is the masked-LM head that maps hidden states to vocabulary logits — used for the MLM loss. Both stay trainable. (bert_rsr_continued_pretraining.py, lines 399-430)",3. The Model,Hard
"Which datasets supervise the model, and which is held out?","Supervision: SimVerb-3500 (verb similarity) + THINGS (object similarity), pooled and min-max normalised to 0-1. Held out for evaluation only: SimLex-999, which is NEVER seen during training. (bert_rsr_continued_pretraining.py, lines 289-360)",4. The Data,Easy
"Why was MEN removed from the supervision set?","Supervisor's instruction (4 June): MEN measures relatedness, not strict similarity. Its own instructions told raters to judge 'relatedness', giving high scores to associated-but-dissimilar pairs like 'wheels-car'. SimLex tests strict similarity, so MEN is the wrong signal. It is off by default and re-enabled with --use-men. (bert_rsr_continued_pretraining.py, lines 327-360)",4. The Data,Medium
"Why min-max normalise each dataset before pooling?","Each dataset has its own scale (e.g. SimVerb 0-10, THINGS arbitrary). Normalising each to 0-1 puts them on a common range so one doesn't dominate the pooled supervision, and so the loss treats them comparably. (bert_rsr_continued_pretraining.py, lines 279-287)",4. The Data,Medium
"Where do the training sentences come from?","Pre-harvested from Wikipedia: up to 50 real sentences per target word, stored as artifacts/sentences/<slug>.jsonl. The same pool feeds both the RSR batches and the MLM batches. (bert_rsr_continued_pretraining.py, lines 364-383)",4. The Data,Easy
"How big is the supervised vocabulary after dropping MEN?","About 2,650 unique words (SimVerb + THINGS that also have harvested sentences), giving ~1.7M scored pairs in the lookup. That is the pool RSR batches are drawn from. (bert_rsr_continued_pretraining.py, lines 327-360)",4. The Data,Easy
"What is THINGS / SPoSE?","THINGS is a large object-concept database; SPoSE is a model fit to human similarity judgements over those concepts, yielding a concept-by-concept similarity matrix. We use that matrix as object-similarity supervision. (bert_rsr_continued_pretraining.py, lines 314-325)",4. The Data,Medium
"What is SimLex-999 and why is it the right held-out test?","A benchmark of 999 word pairs rated for STRICT similarity (not relatedness), explicitly designed to penalise models that conflate the two. It is the standard lexical-similarity test and is disjoint from our supervision, so it cleanly measures generalisation. (bert_rsr_continued_pretraining.py, lines 352-360)",4. The Data,Medium
"Why does the table say n=989 and not 999?","About 10 SimLex pairs contain a word with no harvested sentence, so we can't embed it in context and that pair is skipped. 989 is the number actually scored; it is the same for every model so comparisons are fair. (bert_rsr_continued_pretraining.py, lines 661-701)",4. The Data,Medium
"Is SimVerb being verbs-only a limitation?","Somewhat — it skews supervision toward verbs while SimLex is mixed. THINGS (objects/nouns) balances it, but the SimVerb/THINGS mix is part of why directly-supervised pairs don't track SimLex perfectly. A cleaner, scale-matched supervision set is future work. (bert_rsr_continued_pretraining.py, lines 302-325)",4. The Data,Hard
"Why might THINGS (built from images/objects) transfer to word similarity at all?","Because conceptual similarity is largely modality-independent: dog and wolf are similar whether judged from pictures or words. THINGS captures object-concept structure that overlaps with how the words are used, so it is a useful (if imperfect) similarity signal for text vectors.",4. The Data,Hard
"What is 'Option B' in the RSR batch?","We pick any target words we have sentences for, build all N(N-1)/2 pairs, but compute the loss ONLY over pairs that have a human score — unscored pairs are masked out. Option A would only pick co-rated words; Option B is simpler and uses more data. (bert_rsr_continued_pretraining.py, lines 540-577)",5. Training Mechanics,Hard
"In a batch of N=16 words, how many pairs are there?","N(N-1)/2 = 16*15/2 = 120 candidate pairs; the loss uses whichever subset has human scores (at least min_pairs_per_rsr_batch=8, else the batch is skipped). (bert_rsr_continued_pretraining.py, lines 540-577)",5. Training Mechanics,Medium
"Why N=24 (or 16) instead of N=5 for the RSR batch?","Larger N = a denser similarity matrix (N(N-1)/2 pairs) = a much less noisy soft-Spearman gradient. N=5 gives only ~10 pairs and thrashed; bigger batches are far more stable. (bert_rsr_continued_pretraining.py, lines 156-214)",5. Training Mechanics,Medium
"Which function builds an RSR batch and how?","RSRBatchSampler.sample_batch: draw N target words that have sentences, pick one sentence each, locate the target span, then require at least min_pairs scored pairs among them or skip. (bert_rsr_continued_pretraining.py, lines 486-537)",5. Training Mechanics,Medium
"What is the MLM loss and why keep it during RSR training?","Masked language modelling: hide ~15% of tokens, predict them, cross-entropy. It's the anchor — without it, pure RSR drifts the model away from being a functioning language model and the geometry overshoots. (bert_rsr_continued_pretraining.py, lines 428-430)",5. Training Mechanics,Easy
"Explain the 80/10/10 masking split.","Of the 15% of tokens chosen for prediction: 80% become [MASK], 10% a random token, 10% left unchanged (but still predicted). The random/unchanged portions stop BERT from only learning to fill literal [MASK] slots. Standard Devlin et al. 2019 scheme. (bert_rsr_continued_pretraining.py, lines 588-624)",5. Training Mechanics,Medium
"Why are special tokens and padding never masked?","[CLS]/[SEP] carry structural meaning, not content to predict, and padding is not real text. Their masking probability is forced to zero so the loss only ever targets genuine content tokens. (bert_rsr_continued_pretraining.py, lines 588-624)",5. Training Mechanics,Medium
"What are the two ways MLM and RSR are combined?","interleave: alternate pure-MLM and pure-RSR batches. weighted (default): every batch does both, loss = (1-lambda)*MLM + lambda*RSR. Weighted keeps MLM present every step, anchoring the geometry and avoiding overshoot. (bert_rsr_continued_pretraining.py, lines 786-821)",5. Training Mechanics,Medium
"What does lambda control and what value won?","Lambda is the weight on the RSR term in weighted mode. The sweep found lambda=0.7 best. Interleave was weakest; performance rose with lambda up to 0.7 then fell at 0.9 — an inverted-U. (bert_rsr_continued_pretraining.py, lines 793-806)",5. Training Mechanics,Medium
"Where exactly is the weighted loss combined in code?","loss = (1.0 - cfg.rsr_lambda) * mlm_loss + cfg.rsr_lambda * rsr_loss, inside the per-step branch of the training loop. (bert_rsr_continued_pretraining.py, lines 793-806)",5. Training Mechanics,Medium
"Why is early stopping used and where is it implemented?","RSR overshoots: SimLex climbs, peaks (steps ~100-300), then decays. Early stopping snapshots the best-SimLex weights each eval and rolls back to them at the end. (bert_rsr_continued_pretraining.py, lines 846-861)",5. Training Mechanics,Medium
"What is gradient clipping doing here?","clip_grad_norm caps the global gradient norm at 1.0 so a single noisy RSR batch (few pairs -> high-variance gradient) can't take a huge destabilising optimiser step. (bert_rsr_continued_pretraining.py, lines 823-830)",5. Training Mechanics,Medium
"What optimiser and learning rate are used?","Adam at lr 5e-5 (the sweep confirmed this region), updating only the trainable parameters, with gradients clipped to norm 1.0 each step. (bert_rsr_continued_pretraining.py, lines 156-214)",5. Training Mechanics,Easy
"Why Adam and a constant LR rather than SGD or a schedule?","Adam is the standard, robust choice for fine-tuning transformers and needs little tuning. Runs are short (peak by ~step 300) so a warmup/decay schedule adds little; early stopping handles the late-run degradation instead. (bert_rsr_continued_pretraining.py, lines 736-865)",5. Training Mechanics,Medium
"What happens when an RSR batch has too few scored pairs?","It is skipped (returns None) and the step is retried with a fresh sample. min_pairs_per_rsr_batch=8 guards against computing a Spearman over a tiny, high-variance handful of pairs. (bert_rsr_continued_pretraining.py, lines 486-577)",5. Training Mechanics,Medium
"Why can the MLM batches use 'any sentences'?","MLM only needs text to mask and predict; it doesn't care which words are targets. Reusing the harvested target-word sentences means no extra data is needed and keeps both signals in the same domain. (bert_rsr_continued_pretraining.py, lines 582-624)",5. Training Mechanics,Medium
"What does the --sweep mode do?","Runs several recipes (interleave vs weighted at various lambdas) at reduced steps with early stopping, loading data once, and prints best-SimLex-reached per recipe. It is how lambda=0.7 was chosen. (bert_rsr_continued_pretraining.py, lines 920-1010)",5. Training Mechanics,Medium
"What was the very first failed run and why did it fail?","N=5 RSR batches with a 1:2 RSR-majority interleave degraded SimLex (0.45 -> 0.31). Two causes: N=5 gives only ~10 pairs -> a noisy Spearman gradient; and 2 of every 3 batches being pure RSR starved the MLM language signal.",5. Training Mechanics,Medium
"What does the dependent variable / success metric look like in code?","evaluate_simlex embeds each word in context, takes cosine similarity per pair, and reports scipy Spearman vs the human SimLex scores, overall and per partition. (bert_rsr_continued_pretraining.py, lines 661-701)",6. The Experiment,Easy
"What is the control condition and why does it matter?","A second BERT trained from the same start on MLM only (continued pre-training, no RSR). It isolates the RSR effect: continued training helps a little by itself, so RSR's real contribution is RSR-minus-control. The compare regime runs both. (bert_rsr_continued_pretraining.py, lines 1073-1175)",6. The Experiment,Medium
"What do 'both / one / neither in RSR' mean and where are they assigned?","For each held-out SimLex pair, how many of its two words appeared anywhere in the supervision vocabulary: both, one, or neither. The pairs themselves are never trained on. The split is computed at the top of evaluate_simlex. (bert_rsr_continued_pretraining.py, lines 661-668)",6. The Experiment,Medium
"Why is 'neither in RSR' the key column?","It's the generalisation test. Those words received NO human similarity supervision, so there's nothing to memorise. Improvement there can only come from RSR reshaping the representation space as a whole and that change transferring to untouched words. (bert_rsr_continued_pretraining.py, lines 661-701)",6. The Experiment,Medium
"Why does vanilla have zero variance across seeds?","Vanilla is the same pretrained checkpoint evaluated identically each seed — nothing is randomly initialised (no head). Seeds only vary batch sampling and masking during training, which don't touch the untrained vanilla model. (bert_rsr_continued_pretraining.py, lines 216-222)",6. The Experiment,Medium
"How many seeds and how is the result aggregated?","5 seeds; each runs a full RSR + control pair. aggregate_seeds.py pairs the RSR and baseline CSVs per seed, takes each run's best-SimLex row, and reports mean +/- std per partition plus paired t-tests. (aggregate_seeds.py, lines 1-70)",6. The Experiment,Medium
"Could SimLex leak into training through the shared sentences?","No pair or score from SimLex enters training. Sentences are shared, but RSR is supervised only by SimVerb/THINGS scores and MLM only predicts masked tokens. SimLex words may appear in text, but their similarity labels never do. (bert_rsr_continued_pretraining.py, lines 352-360)",6. The Experiment,Hard
"What is the purpose of partitioning by overlap at all?","To separate memorisation from generalisation. If gains were only on 'both' pairs you'd suspect the model just learned the supervised words; concentrating the gain on 'neither' is positive evidence of representational transfer. (bert_rsr_continued_pretraining.py, lines 661-668)",6. The Experiment,Medium
"What would falsify the RSR hypothesis?","If the gain over the control appeared only on supervised ('both') pairs and vanished on 'neither', that would point to memorisation, not reshaping. A flat or negative 'neither' delta across seeds would sink the generalisation claim. We observe the opposite.",6. The Experiment,Hard
"What is the headline 5-seed result?","On 'neither' pairs: RSR 0.614 +/- 0.005 vs MLM-only control 0.561 +/- 0.004 vs vanilla 0.550. RSR beats the control by +0.053 (paired t-test t=22.8, p=0.00002), positive in every seed.",7. The Findings,Medium
"What is the all-pairs result?","RSR 0.528 vs control 0.510 vs vanilla 0.492. RSR over control +0.018 (p=0.017). Smaller than the 'neither' gain because the effect is concentrated in generalisation.",7. The Findings,Medium
"What happened on the 'both' and 'one' partitions?","No RSR-specific advantage over the control (about +0.007 and +0.002). 'both' is also the lowest-scoring (~0.34) and noisiest (+/-0.02) partition.",7. The Findings,Medium
"Why might supervised ('both') words NOT benefit most — isn't that surprising?","Plausible reason: SimLex is strict similarity, but the pooled supervision mixes SimVerb (verbs) and THINGS (objects) on blended scales. Directly constrained words get pulled toward that pooled notion, which doesn't perfectly match SimLex. Unsupervised words only feel the broad geometric reshaping, which is what SimLex rewards.",7. The Findings,Hard
"Did removing the projection head change the baseline?","Yes — vanilla BERT's SimLex rose from ~0.45 to ~0.49. The old random, untrained 128-d projection head was degrading the vanilla evaluation. This independently supports the supervisor's critique of the head.",7. The Findings,Medium
"What's the single most important number to remember?","+0.053 — RSR's gain over the matched continued-training control on words it never supervised, significant at p=0.00002 across 5 seeds. That one number is the whole generalisation story.",7. The Findings,Easy
"What does the SimLex curve over training look like?","It rises from the vanilla baseline, peaks early (around steps 100-300), then drifts down if training continues — the overshoot that motivates early stopping. The MLM-only control rises a little then plateaus. (bert_rsr_continued_pretraining.py, lines 832-861)",7. The Findings,Medium
"Does RSR damage the language model?","The MLM loss stays low throughout because it is present in every weighted batch, so BERT remains a functioning language model. We log MLM loss alongside SimLex; it does not blow up. (bert_rsr_continued_pretraining.py, lines 832-844)",7. The Findings,Medium
"Is +0.053 Spearman a big effect?","In absolute terms it is modest, but it is the gain over a strong more-training control, on never-supervised words, and it is extremely consistent (std ~0.005, p=0.00002). For a regularisation term that touches the whole space, a reliable few-hundredths on generalisation is meaningful and publishable.",7. The Findings,Medium
"Defence: isn't this just memorising the training words?","No — the entire benefit over the control is on the 'neither' partition, words that received zero human supervision. There is nothing to memorise there, so the gain must come from a genuine reshaping of the representation space.",8. Under Fire,Medium
"Defence: how do you know it's not just more training?","Because the matched control IS more training (continued MLM only). RSR is compared to that control, not to vanilla, and still wins by +0.053 on generalisation with p=0.00002.",8. Under Fire,Medium
"Couldn't removing the projection head alone explain the whole result?","It explains the higher vanilla BASELINE (0.45 to 0.49), not the RSR effect. RSR is measured against the control under the same no-head setup, so the head change is held constant and cancels out of the RSR-minus-control comparison.",8. Under Fire,Hard
"Caveat: is selecting the checkpoint on the eval set a problem?","It slightly inflates absolute numbers (model selection on the test set). But the RSR-vs-control comparison stays fair because both arms get the same advantage. For the paper, report fixed-step results too or use a separate validation split for stopping. (bert_rsr_continued_pretraining.py, lines 846-861)",8. Under Fire,Hard
"Caveat: why only 5 seeds, and is it enough?","Time budget — each seed is a full RSR + control run (~40 min). 5 seeds already give a tight std (~0.005) and p=0.00002, so the effect is clearly significant. The paper protocol is 10 seeds; that's the next step.",8. Under Fire,Medium
"With one model init, aren't 5 seeds just measuring sampling noise?","Yes deliberately — the seeds isolate training stochasticity (batch sampling, masking), the only randomness left once the head is gone. Positive in all 5 with tiny variance shows it's not a lucky sample. Multiple inits is a fair extension, but BERT's init is fixed by the pretrained checkpoint.",8. Under Fire,Hard
"Why not just train directly on SimLex if you want SimLex to go up?","That would be testing on the training set — scientifically empty. The claim is about generalisation: supervise a disjoint set, then improve on an unseen benchmark, including unseen words. Training on SimLex would prove nothing about representation.",8. Under Fire,Medium
"Where are all the hyperparameters set?","All of them are constants in the Config class at the top of the file, so the whole setup is visible at a glance. (bert_rsr_continued_pretraining.py, lines 156-214)",9. Code & Repro,Easy
"Where in the code do I switch back to Mark's original recipe?","Pass --frozen-layers 11 --proj-dim 128 --use-men. In code this re-activates the freezing loop and the Linear projection head, and re-adds MEN to supervision. (bert_rsr_continued_pretraining.py, lines 410-423)",9. Code & Repro,Medium
"Where is offline mode set and why?","Two os.environ flags at the very top force transformers to use the local HF cache and never hit the network, so a dropped connection mid-run can't crash the job (it once killed an overnight sweep). (bert_rsr_continued_pretraining.py, lines 93-101)",9. Code & Repro,Medium
"Why is the script a single self-contained file with no project imports?","So it can be read end-to-end top-to-bottom and handed to / run by anyone (the supervisor) without the rest of the repo. It's laid out in execution order deliberately.",9. Code & Repro,Easy
"Walk through the main loop's steps.","1) Load supervision + SimLex. 2) Build BERT, print trainable params. 3) Prepare the RSR sampler + MLM pool. 4) Baseline eval (the vanilla column). 5) Training loop with periodic SimLex eval + early stopping. 6) Final partitioned comparison table. (bert_rsr_continued_pretraining.py, lines 736-865)",9. Code & Repro,Medium
"How is the per-step history saved?","Each eval appends a row (step, losses, rho per partition) to a list, written to results/bert_continued_{regime}_{timestamp}.csv. aggregate_seeds.py later pairs RSR and baseline CSVs across seeds. (bert_rsr_continued_pretraining.py, lines 832-865)",9. Code & Repro,Easy
"Where is the final comparison table printed?","print_table2 formats the Vanilla / +MLM / RSR / RSR-Van / RSR-MLM columns per partition, the paper-Table-2 layout. (bert_rsr_continued_pretraining.py, lines 1020-1057)",9. Code & Repro,Medium
"How do I run a quick wiring check?","Pass --smoke for a tiny ~20-step run that exercises every code path on CPU in a couple of minutes. (bert_rsr_continued_pretraining.py, lines 1073-1175)",9. Code & Repro,Easy
"How would someone reproduce the headline run?","python bert_rsr_continued_pretraining.py --regime compare --combine weighted --lambda 0.7 --steps 800 --seed N, for N in 1..5, then aggregate_seeds.py over the five timestamps. Defaults already encode no-MEN, nothing-frozen, no-head, eval every 100. (bert_rsr_continued_pretraining.py, lines 1073-1175)",9. Code & Repro,Medium
"What are the key hyperparameters in one place?","BERT-base-uncased; nothing frozen; no projection head; supervision SimVerb+THINGS (no MEN); RSR batch N=24; MLM batch 16 at 15% masking; weighted combine lambda=0.7; Adam lr 5e-5; grad clip 1.0; up to 2000 steps; eval every 100; early stopping on best SimLex. (bert_rsr_continued_pretraining.py, lines 156-214)",9. Code & Repro,Medium
"How long does a run take and on what hardware?","On an RTX 5070 Ti, roughly 160s per 100 steps including the SimLex eval, so ~20 min per 800-step regime and ~40 min for an RSR+control pair. The 5-seed protocol is ~3.5 hours.",9. Code & Repro,Easy
"What would you change for the paper-grade version?","10 seeds (not 5); a held-out validation split for early stopping rather than the test set; possibly report fixed-step results; and investigate the both/one partitions (scale mismatch between SimVerb and THINGS).",10. The Road Ahead,Medium
"What's the open question about the supervisor's own code?","He wrote a RoBERTa-based variant (in Google Antigravity) that gets implausibly small Spearman rhos and suspects its z-score standardisation. The attachment was missing from the saved email; we need it re-sent to debug.",10. The Road Ahead,Easy
"What is z-score standardisation and why might it be the supervisor's bug?","Z-scoring rescales each feature to mean 0, std 1. Done per-batch on the embeddings it can distort the very geometry RSR is trying to read, and across tiny batches it is unstable — a plausible cause of his implausibly small rhos. Our script avoids it (cosine on raw vectors instead). (bert_rsr_continued_pretraining.py, lines 558-567)",10. The Road Ahead,Hard
"What are the two papers the supervisor sent and why are they relevant?","Vulic et al. 2020 (Probing Pretrained Language Models for Lexical Semantics, EMNLP) — how much lexical similarity lives in PLMs and how to extract it. McClure and Kriegeskorte 2016 (Representational Distance Learning) — training nets to match target RDMs, the direct methodological ancestor of RSR.",10. The Road Ahead,Medium
"What is the plan for GPT-2?","Apply the same template — contextual target vectors, soft-Spearman RSR interleaved/weighted with the LM loss — but with GPT-2's causal language-modelling objective as the anchor instead of MLM. The shared design means mostly swapping the model and loss wiring.",10. The Road Ahead,Medium
